CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
332,COC1=C(C=CC(=C1)C=C)O,"['savory', 'spices']",150.06807956,2,0,0,0,0,0,0,0,0,1,1,0
335,CC1=CC=CC=C1O,"['flower', 'herbal', 'animal']",108.057514876,3,0,1,0,0,1,0,0,1,0,0,0
338,C1=CC=C(C(=C1)C(=O)O)O,['savory'],138.031694052,1,0,0,0,0,0,0,0,0,1,0,0
379,CCCCCCCC(=O)O,"['savory', 'fruity', 'animal']",144.115029752,3,0,1,0,0,0,1,0,0,1,0,0
402,S,['savory'],33.987721064,1,0,0,0,0,0,0,0,0,1,0,0
441,CC(CC(=O)O)O,"['savory', 'fruity']",104.047344116,2,0,0,0,0,0,1,0,0,1,0,0
454,CCCCCCCC=O,"['aquatic', 'savory', 'herbal', 'fruity', 'green']",128.120115132,5,0,0,1,0,0,1,1,1,1,0,0
460,COC1=CC=CC=C1O,['savory'],124.052429496,1,0,0,0,0,0,0,0,0,1,0,0
527,CCC=O,"['fruity', 'aquatic', 'alcohol', 'savory', 'earthy', 'green']",58.041864812,6,1,0,1,1,0,1,1,0,1,0,0
563,CSCCC(=O)O,"['savory', 'fruity', 'green']",120.024500496,3,0,0,0,0,0,1,1,0,1,0,0
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,['flower'],168.057514876,1,0,0,0,0,1,0,0,0,0,0,0
612,CC(C(=O)O)O,['savory'],90.031694052,1,0,0,0,0,0,0,0,0,1,0,0
679,CS(=O)C,['savory'],78.013935812,1,0,0,0,0,0,0,0,0,1,0,0
701,CCOC(=O)C(C)C(=O)C,"['alcohol', 'fruity', 'green']",144.078644244,3,1,0,0,0,0,1,1,0,0,0,0
702,CCO,"['alcohol', 'aquatic']",46.041864812,2,1,0,1,0,0,0,0,0,0,0,0
768,C#N,['savory'],27.010899032,1,0,0,0,0,0,0,0,0,1,0,0
784,OO,['aquatic'],34.005479304,1,0,0,1,0,0,0,0,0,0,0,0
798,C1=CC=C2C(=C1)C=CN2,"['savory', 'flower', 'animal']",117.057849224,3,0,1,0,0,1,0,0,0,1,0,0
876,CSCCC(C(=O)O)N,['savory'],149.051049592,1,0,0,0,0,0,0,0,0,1,0,0
880,CC(=O)C=O,"['savory', 'alcohol', 'aquatic']",72.021129368,3,1,0,1,0,0,0,0,0,1,0,0
887,CO,"['alcohol', 'aquatic']",32.026214748,2,1,0,1,0,0,0,0,0,0,0,0
931,C1=CC=C2C=CC=CC2=C1,['herbal'],128.062600256,1,0,0,0,0,0,0,0,1,0,0,0
957,CCCCCCCCO,"['flower', 'aquatic', 'savory', 'fruity', 'green']",130.135765196,5,0,0,1,0,1,1,1,0,1,0,0
964,C(C(=O)C(=O)O)O,"['savory', 'green']",104.010958608,2,0,0,0,0,0,0,1,0,1,0,0
984,CCCCCCCCCCCCCCCC=O,"['fruity', 'flower']",240.245315644,2,0,0,0,0,1,1,0,0,0,0,0
985,CCCCCCCCCCCCCCCC(=O)O,['green'],256.240230264,1,0,0,0,0,0,0,1,0,0,0,0
989,CC1(COC(=O)C1O)C,['savory'],130.06299418,1,0,0,0,0,0,0,0,0,1,0,0
994,C1=CC=C(C=C1)CC(C(=O)O)N,['savory'],165.078978592,1,0,0,0,0,0,0,0,0,1,0,0
997,C1=CC=C(C=C1)CC(=O)C(=O)O,"['savory', 'green']",164.047344116,2,0,0,0,0,0,0,1,0,1,0,0
998,C1=CC=C(C=C1)CC=O,"['flower', 'earthy', 'savory', 'fruity', 'green']",120.057514876,5,0,0,0,1,1,1,1,0,1,0,0
999,C1=CC=C(C=C1)CC(=O)O,"['savory', 'flower', 'herbal', 'animal']",136.052429496,4,0,1,0,0,1,0,0,1,1,0,0
1031,CCCO,"['savory', 'fruity', 'alcohol', 'animal']",60.057514876,4,1,1,0,0,0,1,0,0,1,0,0
1032,CCC(=O)O,['savory'],74.036779432,1,0,0,0,0,0,0,0,0,1,0,0
1045,C(CCN)CN,['animal'],88.10004838399999,1,0,1,0,0,0,0,0,0,0,0,0
1049,C1=CC=NC=C1,['savory'],79.04219916,1,0,0,0,0,0,0,0,0,1,0,0
1060,CC(=O)C(=O)O,['savory'],88.016043988,1,0,0,0,0,0,0,0,0,1,0,0
1068,CSC,"['savory', 'fruity', 'green']",62.019021192,3,0,0,0,0,0,1,1,0,1,0,0
1103,C(CCNCCCN)CNCCCN,"['fruity', 'herbal']",202.215746832,2,0,0,0,0,0,1,0,1,0,0,0
1127,C1CCSC1,['savory'],88.034671256,1,0,0,0,0,0,0,0,0,1,0,0
1133,C(C(=O)O)S,['savory'],91.993200368,1,0,0,0,0,0,0,0,0,1,0,0
1146,CN(C)C,"['savory', 'fruity']",59.073499288,2,0,0,0,0,0,1,0,0,1,0,0
1183,COC1=C(C=CC(=C1)C=O)O,['savory'],152.047344116,1,0,0,0,0,0,0,0,0,1,0,0
1213,CC1CCCC2(C1(CCCC2)O)C,"['fruity', 'earthy', 'aquatic']",182.167065324,3,0,0,1,1,0,1,0,0,0,0,0
1254,CC1CCC(C(C1)O)C(C)C,"['aquatic', 'herbal', 'animal']",156.15141526,3,0,1,1,0,0,0,0,1,0,0,0
1567,C(CS)O,['savory'],78.013935812,1,0,0,0,0,0,0,0,0,1,0,0
2214,CC(=O)C1=CC(=C(C=C1)O)OC,['savory'],166.06299418,1,0,0,0,0,0,0,0,0,1,0,0
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,"['fruity', 'flower', 'herbal']",212.083729624,3,0,0,0,0,1,1,0,1,0,0,0
2346,C1=CC=C(C=C1)CN=C=S,"['savory', 'herbal', 'green']",149.029920224,3,0,0,0,0,0,0,1,1,1,0,0
2537,CC1(C2CCC1(C(=O)C2)C)C,"['aquatic', 'herbal', 'green']",152.120115132,3,0,0,1,0,0,0,1,1,0,0,0
2682,CCCCCCCCCCCCCCCCO,"['fruity', 'flower']",242.260965708,2,0,0,0,0,1,1,0,0,0,0,0
2758,CC1(C2CCC(O1)(CC2)C)C,"['aquatic', 'herbal']",154.135765196,2,0,0,1,0,0,0,0,1,0,0,0
2969,CCCCCCCCCC(=O)O,"['savory', 'fruity']",172.14632988,2,0,0,0,0,0,1,0,0,1,0,0
3080,C(C(CS)S)O,['savory'],124.001656876,1,0,0,0,0,0,0,0,0,1,0,0
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,"['aquatic', 'flower', 'herbal']",182.07316494,3,0,0,1,0,1,0,0,1,0,0,0
3283,CCOCC,['aquatic'],74.07316494,1,0,0,1,0,0,0,0,0,0,0,0
3327,CC(=CCCC(=CCCC(=CCO)C)C)C,"['aquatic', 'flower', 'green']",222.198365452,3,0,0,1,0,1,0,1,0,0,0,0
3485,C(CC=O)CC=O,"['fruity', 'green']",100.052429496,2,0,0,0,0,0,1,1,0,0,0,0
3611,CC(C)C1=CC(=O)C(=CC=C1)O,['green'],164.083729624,1,0,0,0,0,0,0,1,0,0,0,0
3776,CC(C)O,"['alcohol', 'aquatic', 'animal']",60.057514876,3,1,1,1,0,0,0,0,0,0,0,0
3893,CCCCCCCCCCCC(=O)O,"['fruity', 'aquatic', 'flower']",200.177630008,3,0,0,1,0,1,1,0,0,0,0,0
4004,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,['savory'],330.036066958,1,0,0,0,0,0,0,0,0,1,0,0
4133,COC(=O)C1=CC=CC=C1O,"['earthy', 'fruity', 'herbal']",152.047344116,3,0,0,0,1,0,1,0,1,0,0,0
4458,CC(=CCCC(=CCO)C)C,['flower'],154.135765196,1,0,0,0,0,1,0,0,0,0,0,0
4775,C1=CC=C(C=C1)CCCC(=O)O,"['savory', 'flower']",164.083729624,2,0,0,0,0,1,0,0,0,1,0,0
5144,C=CCC1=CC2=C(C=C1)OCO2,"['spices', 'flower']",162.06807956,2,0,0,0,0,1,0,0,0,0,1,0
5146,C1=CC=C(C(=C1)CO)O,['fruity'],124.052429496,1,0,0,0,0,0,1,0,0,0,0,0
5541,CC(=O)OCC(COC(=O)C)OC(=O)C,"['savory', 'fruity', 'aquatic']",218.079038168,3,0,0,1,0,0,1,0,0,1,0,0
5610,C1=CC(=CC=C1CCN)O,"['savory', 'fruity']",137.084063972,2,0,0,0,0,0,1,0,0,1,0,0
5634,C=CCCCCCCCCC(=O)O,"['savory', 'fruity']",184.14632988,2,0,0,0,0,0,1,0,0,1,0,0
5862,C([C@@H](C(=O)O)N)S,['savory'],121.019749464,1,0,0,0,0,0,0,0,0,1,0,0
5971,C=CCN=C=S,['savory'],99.01427016,1,0,0,0,0,0,0,0,0,1,0,0
5988,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,['savory'],342.11621152399994,1,0,0,0,0,0,0,0,0,1,0,0
6050,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,"['savory', 'fruity']",302.172938552,2,0,0,0,0,0,1,0,0,1,0,0
6054,C1=CC=C(C=C1)CCO,"['flower', 'aquatic', 'savory', 'earthy', 'green']",122.07316494,5,0,0,1,1,1,0,1,0,1,0,0
6137,CSCC[C@@H](C(=O)O)N,['savory'],149.051049592,1,0,0,0,0,0,0,0,0,1,0,0
6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,['savory'],165.078978592,1,0,0,0,0,0,0,0,0,1,0,0
6184,CCCCCC=O,"['savory', 'fruity', 'aquatic', 'green']",100.088815004,4,0,0,1,0,0,1,1,0,1,0,0
6213,CS(=O)(=O)C,['savory'],94.008850432,1,0,0,0,0,0,0,0,0,1,0,0
6255,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,"['savory', 'fruity']",342.11621152399994,2,0,0,0,0,0,1,0,0,1,0,0
6268,C(C(C(=O)O)S)C(=O)O,['savory'],149.998679672,1,0,0,0,0,0,0,0,0,1,0,0
6276,CCCCCO,"['savory', 'alcohol']",88.088815004,2,1,0,0,0,0,0,0,0,1,0,0
6288,C[C@H]([C@@H](C(=O)O)N)O,['savory'],119.058243148,1,0,0,0,0,0,0,0,0,1,0,0
6329,CN,"['savory', 'fruity']",31.04219916,2,0,0,0,0,0,1,0,0,1,0,0
6341,CCN,"['savory', 'fruity']",45.057849224,2,0,0,0,0,0,1,0,0,1,0,0
6342,CC#N,['savory'],41.026549096,1,0,0,0,0,0,0,0,0,1,0,0
6343,CCS,"['savory', 'fruity']",62.019021192,2,0,0,0,0,0,1,0,0,1,0,0
6348,C(=S)=S,"['savory', 'aquatic', 'herbal', 'green']",75.944142,4,0,0,1,0,0,0,1,1,1,0,0
6354,C1CO1,"['fruity', 'aquatic']",44.026214748,2,0,0,1,0,0,1,0,0,0,0,0
6363,CC(C)N,['savory'],59.073499288,1,0,0,0,0,0,0,0,0,1,0,0
6405,CCC(C)(C)O,"['savory', 'alcohol', 'aquatic', 'herbal']",88.088815004,4,1,0,1,0,0,0,0,1,1,0,0
6416,CC(=O)C(C)(C)C,"['aquatic', 'herbal']",100.088815004,2,0,0,1,0,0,0,0,1,0,0,0
6417,CC(C)(C)C(=O)O,['savory'],102.06807956,1,0,0,0,0,0,0,0,0,1,0,0
6425,CC(C)(C(C)(C)O)O,"['savory', 'earthy', 'aquatic', 'herbal']",118.099379688,4,0,0,1,1,0,0,0,1,1,0,0
6493,CCC(C)(CC)O,"['earthy', 'savory', 'herbal', 'fruity', 'green']",102.104465068,5,0,0,0,1,0,1,1,1,1,0,0
6495,CC(C)(OC)OC,['aquatic'],104.083729624,1,0,0,1,0,0,0,0,0,0,0,0
6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,"['savory', 'fruity', 'aquatic', 'flower']",206.094294308,4,0,0,1,0,1,1,0,0,1,0,0
6506,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,"['alcohol', 'fruity']",276.12090298000004,2,1,0,0,0,0,1,0,0,0,0,0
6507,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,['herbal'],360.214803364,1,0,0,0,0,0,0,0,1,0,0,0
6514,C(CS)C(=O)O,['savory'],106.008850432,1,0,0,0,0,0,0,0,0,1,0,0
6532,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,"['fruity', 'flower', 'herbal']",224.177630008,3,0,0,0,0,1,1,0,1,0,0,0
6533,CC(=CCCC(C)(C=C)OC(=O)C=CC1=CC=CC=C1)C,"['flower', 'herbal']",284.177630008,2,0,0,0,0,1,0,0,1,0,0,0
6544,CC1=CC(=O)CC(C1)(C)C,"['animal', 'aquatic', 'savory', 'herbal', 'fruity', 'green']",138.104465068,6,0,1,1,0,0,1,1,1,1,0,0
6558,CC(C)CN,"['savory', 'fruity']",73.08914935199999,2,0,0,0,0,0,1,0,0,1,0,0
6560,CC(C)CO,"['savory', 'alcohol', 'aquatic', 'animal']",74.07316494,4,1,1,1,0,0,0,0,0,1,0,0
6561,CC(C)C=O,"['flower', 'aquatic', 'savory', 'fruity', 'green']",72.057514876,5,0,0,1,0,1,1,1,0,1,0,0
6562,CC(=C)C=O,"['fruity', 'flower', 'herbal', 'green']",70.041864812,4,0,0,0,0,1,1,1,1,0,0,0
6568,CCC(C)O,"['savory', 'fruity', 'alcohol']",74.07316494,3,1,0,0,0,0,1,0,0,1,0,0
6569,CCC(=O)C,"['fruity', 'aquatic', 'herbal']",72.057514876,3,0,0,1,0,0,1,0,1,0,0,0
6570,CC(=O)C=C,['aquatic'],70.041864812,1,0,0,1,0,0,0,0,0,0,0,0
6590,CC(C)C(=O)O,"['savory', 'fruity']",88.052429496,2,0,0,0,0,0,1,0,0,1,0,0
6616,CC1(C2CCC(C2)C1=C)C,"['aquatic', 'herbal', 'fruity', 'woody', 'green']",136.125200512,5,0,0,1,0,0,1,1,1,0,0,1
6652,CC(CC=O)C1=CC=C(C=C1)C(C)(C)C,"['aquatic', 'flower', 'green']",204.15141526,3,0,0,1,0,1,0,1,0,0,0,0
6653,CCOC(=O)C(C)(C)O,"['herbal', 'green']",132.078644244,2,0,0,0,0,0,0,1,1,0,0,0
6657,CCC(C(=O)O)N,['savory'],103.063328528,1,0,0,0,0,0,0,0,0,1,0,0
6660,CC1=C(C(=O)CC1)O,"['savory', 'spices']",112.052429496,2,0,0,0,0,0,0,0,0,1,1,0
6669,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,"['flower', 'animal']",294.121571676,2,0,1,0,0,1,0,0,0,0,0,0
6736,CC1=CNC2=CC=CC=C12,"['fruity', 'flower', 'animal']",131.073499288,3,0,1,0,0,1,1,0,0,0,0,0
6753,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],"['flower', 'animal']",268.10592161200003,2,0,1,0,0,1,0,0,0,0,0,0
6826,CNC1=CC=CC=C1C(=O)OC,"['alcohol', 'fruity', 'flower', 'animal']",165.078978592,4,1,1,0,0,1,1,0,0,0,0,0
6835,COC1=CC=CC=C1C2=CC=CC=C2,"['fruity', 'flower', 'green']",184.088815004,3,0,0,0,0,1,1,1,0,0,0,0
6874,CC(C)CCOC(=O)C1=CC=CC=C1O,"['flower', 'aquatic', 'herbal', 'earthy', 'green']",208.109944372,5,0,0,1,1,1,0,1,1,0,0,0
6877,CCOC(=O)C1=CC=CC=C1N,"['fruity', 'flower', 'green']",165.078978592,3,0,0,0,0,1,1,1,0,0,0,0
6885,C1C2=CC=CC=C2C(=O)O1,"['savory', 'fruity', 'spices', 'herbal']",134.036779432,4,0,0,0,0,0,1,0,1,1,1,0
6915,CCC(CC)C(=O)O,"['savory', 'earthy', 'fruity']",116.083729624,3,0,0,0,1,0,1,0,0,1,0,0
6920,CC(=O)C1=CC=CS1,['savory'],126.013935812,1,0,0,0,0,0,0,0,0,1,0,0
6930,CCC1=CC2=C(C=C1C(=O)C)C(CCC2(C)C)(C)C,['animal'],258.198365452,1,0,1,0,0,0,0,0,0,0,0,0
6937,CC1=CC(=C(C=C1)C(C)(C)C)O,"['savory', 'animal']",164.120115132,2,0,1,0,0,0,0,0,0,1,0,0
6943,CC(C)C1=CC=CC=C1O,"['savory', 'animal']",136.088815004,2,0,1,0,0,0,0,0,0,1,0,0
6944,CC1=CC=CC=C1[N+](=O)[O-],"['savory', 'herbal']",137.047678464,2,0,0,0,0,0,0,0,1,1,0,0
6985,CC1=CC(=C(C=C1)C(=O)C)C,"['spices', 'flower', 'herbal']",148.088815004,3,0,0,0,0,1,0,0,1,0,1,0
6986,CC1CCC(C(=O)C1)C(C)C,"['aquatic', 'herbal']",154.135765196,2,0,0,1,0,0,0,0,1,0,0,0
6987,CC1=CC(=O)C(CC1)C(C)C,"['fruity', 'aquatic', 'herbal']",152.120115132,3,0,0,1,0,0,1,0,1,0,0,0
6989,CC1=CC(=C(C=C1)C(C)C)O,"['savory', 'herbal', 'green']",150.104465068,3,0,0,0,0,0,0,1,1,1,0,0
6998,C1=CC=C(C(=C1)C=O)O,"['spices', 'flower', 'aquatic', 'savory', 'herbal']",122.036779432,5,0,0,1,0,1,0,0,1,1,1,0
7002,CC1=CC=CC2=CC=CC=C12,"['green', 'earthy', 'herbal', 'animal']",142.07825032,4,0,1,0,1,0,0,1,1,0,0,0
7016,C1CCC(CC1)C2CCCCC2=O,"['aquatic', 'herbal', 'flower']",180.15141526,3,0,0,1,0,1,0,0,1,0,0,0
7041,COC1=C(C(=CC=C1)OC)O,['savory'],154.06299418,1,0,0,0,0,0,0,0,0,1,0,0
7043,COC1=CC=CC=C1OC,"['savory', 'earthy', 'animal']",138.06807956,3,0,1,0,1,0,0,0,0,1,0,0
7045,C1=CC=C2C(=C1)N=CC=N2,['savory'],130.053098192,1,0,0,0,0,0,0,0,0,1,0,0
7047,C1=CC=C2C(=C1)C=CC=N2,"['spices', 'earthy', 'herbal', 'animal']",129.057849224,4,0,1,0,1,0,0,0,1,0,1,0
7055,CC1=CC2=CC=CC=C2C=C1,['flower'],142.07825032,1,0,0,0,0,1,0,0,0,0,0,0
7058,C1=CC=C2C=C(C=CC2=C1)S,['savory'],160.034671256,1,0,0,0,0,0,0,0,0,1,0,0
7059,CC1=CC2=C(C=C1)N=CC=C2,"['flower', 'herbal', 'animal']",143.073499288,3,0,1,0,0,1,0,0,1,0,0,0
7060,CC1=NC2=CC=CC=C2C=C1,['herbal'],143.073499288,1,0,0,0,0,0,0,0,1,0,0,0
7092,CC1=CC2=C(C=C1)OC(=O)C=C2,"['fruity', 'spices', 'flower', 'savory', 'herbal', 'earthy']",160.052429496,6,0,0,0,1,1,1,0,1,1,1,0
7095,C1=CC=C(C=C1)C2=CC=CC=C2,"['savory', 'flower', 'aquatic', 'green']",154.07825032,4,0,0,1,0,1,0,1,0,1,0,0
7118,COC1=C(C=C(C=C1)CO)OC,['savory'],168.078644244,1,0,0,0,0,0,0,0,0,1,0,0
7127,COC1=C(C=C(C=C1)CC=C)OC,"['spices', 'flower', 'animal', 'aquatic', 'savory', 'herbal', 'earthy']",178.099379688,7,0,1,1,1,1,0,0,1,1,1,0
7128,CC=CC1=CC(=C(C=C1)OC)OC,"['savory', 'spices', 'flower', 'herbal']",178.099379688,4,0,0,0,0,1,0,0,1,1,1,0
7129,CCOC1=CC2=CC=CC=C2C=C1,"['fruity', 'flower']",172.088815004,2,0,0,0,0,1,1,0,0,0,0,0
7136,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,"['fruity', 'spices', 'flower', 'aquatic', 'earthy', 'green']",206.094294308,6,0,0,1,1,1,1,1,0,0,1,0
7137,CC=CC1=CC(=C(C=C1)OC(=O)C)OC,"['spices', 'flower']",206.094294308,2,0,0,0,0,1,0,0,0,0,1,0
7146,CC(C=O)C1=CC=CC=C1,"['fruity', 'flower', 'aquatic', 'savory', 'earthy', 'green']",134.07316494,6,0,0,1,1,1,1,1,0,1,0,0
7147,CCC(C1=CC=CC=C1)O,['flower'],136.088815004,1,0,0,0,0,1,0,0,0,0,0,0
7165,CCOC(=O)C1=CC=CC=C1,"['flower', 'animal', 'herbal', 'fruity', 'green']",150.06807956,5,0,1,0,0,1,1,1,1,0,0,0
7166,CC(=O)CC(=O)C1=CC=CC=C1,"['savory', 'fruity']",162.06807956,2,0,0,0,0,0,1,0,0,1,0,0
7169,C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,"['fruity', 'aquatic', 'flower', 'green']",198.06807956,4,0,0,1,0,1,1,1,0,0,0,0
7170,CCOC(=O)CC(=O)C1=CC=CC=C1,"['alcohol', 'fruity', 'savory']",192.078644244,3,1,0,0,0,0,1,0,0,1,0,0
7175,CCCOC(=O)C1=CC=C(C=C1)O,"['savory', 'fruity']",180.078644244,2,0,0,0,0,0,1,0,0,1,0,0
7184,CCCCOC(=O)C1=CC=C(C=C1)O,"['savory', 'fruity']",194.094294308,2,0,0,0,0,0,1,0,0,1,0,0
7189,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,"['flower', 'herbal']",208.088815004,2,0,0,0,0,1,0,0,1,0,0,0
7194,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,"['savory', 'flower', 'green']",226.099379688,3,0,0,0,0,1,0,1,0,1,0,0
7196,C1OC2=C(O1)C=C(C=C2)C(=O)O,['animal'],166.026608672,1,0,1,0,0,0,0,0,0,0,0,0
7197,CCCC1=CC2=C(C=C1)OCO2,['flower'],164.083729624,1,0,0,0,0,1,0,0,0,0,0,0
7219,C1C=CC2=CC=CC=C21,['animal'],116.062600256,1,0,1,0,0,0,0,0,0,0,0,0
7221,C1=CC=C2C(=C1)C=CS2,"['savory', 'earthy']",134.019021192,2,0,0,0,1,0,0,0,0,1,0,0
7224,CC1=CC2=CC=CC=C2N1,['animal'],131.073499288,1,0,1,0,0,0,0,0,0,0,0,0
7225,CC1=NC2=CC=CC=C2O1,"['savory', 'flower', 'herbal']",133.052763844,3,0,0,0,0,1,0,0,1,1,0,0
7237,CC1=CC=CC=C1C,['flower'],106.07825032,1,0,0,0,0,1,0,0,0,0,0,0
7267,CC1=CC(=C(C=C1)C)O,['savory'],122.07316494,1,0,0,0,0,0,0,0,0,1,0,0
7268,CCOC(=O)C(=O)OCC,"['animal', 'savory', 'alcohol', 'herbal', 'fruity']",146.0579088,5,1,1,0,0,0,1,0,1,1,0,0
7275,CC1C(O1)C2CCC3(C(C2)O3)C,['herbal'],168.115029752,1,0,0,0,0,0,0,0,1,0,0,0
7284,CCC(C)C=O,"['animal', 'savory', 'alcohol', 'fruity', 'green']",86.07316494,5,1,1,0,0,0,1,1,0,1,0,0
7288,CCC(=O)CC,"['savory', 'fruity', 'aquatic']",86.07316494,3,0,0,1,0,0,1,0,0,1,0,0
7294,COC(=O)C=C,['herbal'],86.036779432,1,0,0,0,0,0,0,0,1,0,0,0
7298,C1CCC(C1)O,"['savory', 'alcohol', 'aquatic']",86.07316494,3,1,0,1,0,0,0,0,0,1,0,0
7301,CC1CCCO1,['herbal'],86.07316494,1,0,0,0,0,0,0,0,1,0,0,0
7302,C1CC(=O)OC1,['savory'],86.036779432,1,0,0,0,0,0,0,0,0,1,0,0
7304,CN1C=CC=C1,"['savory', 'herbal', 'animal']",81.057849224,3,0,1,0,0,0,0,0,1,1,0,0
7334,CCOC(=O)C1C(C1(C)C)C=C(C)C,"['flower', 'aquatic', 'alcohol', 'herbal', 'green']",196.14632988,5,1,0,1,0,1,0,1,1,0,0,0
7335,CC1=CCC(CC1OC(=O)C)C(=C)C,"['aquatic', 'alcohol', 'savory', 'herbal', 'fruity', 'green']",194.130679816,6,1,0,1,0,0,1,1,1,1,0,0
7336,CCC(=O)OC1CC(CC=C1C)C(=C)C,"['fruity', 'herbal']",208.14632988,2,0,0,0,0,0,1,0,1,0,0,0
7341,CCCC(C)C(=O)O,"['savory', 'herbal']",116.083729624,2,0,0,0,0,0,0,0,1,1,0,0
7343,CCOC(=O)C(=C)C,"['fruity', 'herbal']",114.06807956,2,0,0,0,0,0,1,0,1,0,0,0
7344,CCOC(=O)C(C)O,"['savory', 'fruity', 'alcohol', 'aquatic']",118.06299418,4,1,0,1,0,0,1,0,0,1,0,0
7351,CC(C)COC(=O)C(C)C,"['alcohol', 'fruity', 'aquatic']",144.115029752,3,1,0,1,0,0,1,0,0,0,0,0
7352,CC(C)COC(=O)C(=C)C,['herbal'],142.099379688,1,0,0,0,0,0,0,0,1,0,0,0
7353,CCCCOC(=O)C(C)C,"['savory', 'fruity', 'green']",144.115029752,3,0,0,0,0,0,1,1,0,1,0,0
